ms
80.453
58.010
60.942
57.462
54.492
62.153
58.928
56.720
59.247
59.046
59.598
57.595
59.813
60.483
61.682
59.744
57.939
58.878
59.443
53.676
60.684
60.159
50.844
46.036
49.007
48.581
51.393
56.152
55.039
60.130
59.885
60.978
60.214
58.804
58.380
60.250
59.298
58.554
60.244
58.536
55.979
60.562
58.993
64.251
59.198
51.087
43.385
53.759
46.060
50.276
48.317
56.731
50.890
52.980
56.932
58.378
58.840
58.652
61.516
61.625
56.012
60.008
56.945
58.781
60.821
55.939
58.897
61.225
59.391
43.743
45.893
48.597
47.070
54.106
57.278
56.615
57.513
60.052
59.421
61.347
60.268
58.662
61.349
60.690
59.231
60.700
59.010
57.537
56.569
62.558
59.120
61.095
53.475
46.620
50.943
52.462
48.137
49.174
59.952
57.220
57.560
53.199
59.396
59.065
59.682
59.590
58.782
61.201
58.749
60.804
56.580
56.329
55.417
60.098
59.449
59.229
47.431
51.221
51.852
51.334
47.113
48.639
51.199
56.983
55.569
61.597
59.001
61.068
58.055
58.435
64.004
60.719
58.533
58.123
58.989
58.488
57.782
60.625
58.987
52.461
43.978
41.495
50.827
50.105
48.335
51.729
60.777
65.488
59.910
60.320
59.203
57.622
58.843
57.224
61.507
59.370
55.273
58.288
60.920
59.306
62.074
60.326
58.549
44.264
45.821
51.246
47.792
59.972
49.518
51.769
57.252
46.439
56.963
59.560
59.934
63.464
60.315
59.814
61.806
61.164
59.194
55.171
52.542
55.129
57.643
60.676
59.168
50.321
52.569
51.098
52.033
60.039
66.585
60.237
60.015
58.745
61.563
60.688
58.389
60.003
54.094
63.599
53.652
59.511
60.654
60.155
59.390
61.599
57.242
53.664
52.373
52.708
50.250
43.393
46.806
48.253
62.084
48.023
55.038
58.439
57.431
60.383
58.563
60.115
60.289
58.048
61.043
60.641
58.249
57.601
60.995
58.781
66.262
46.507
47.365
49.428
47.786
46.482
47.640
60.027
56.638
56.083
59.099
58.910
53.423
55.398
58.743
58.018
60.388
57.953
55.943
61.018
59.421
59.608
58.807
58.549
60.062
59.012
47.790
44.553
48.694
64.747
46.277
51.185
58.574
60.220
60.421
58.422
60.265
60.863
58.167
58.593
63.075
57.945
53.648
61.315
58.951
60.717
61.025
59.329
59.377
45.949
55.591
48.038
51.180
57.308
48.658
60.728
58.833
57.953
61.430
58.871
54.675
61.116
59.661
60.238
61.126
58.797
59.076
57.273
